Product Name,Product Price,Rating,Number of Reviews,Product URL
Lavie Women's Beech Satchel Bag | Ladies Purse Handbag,1259,4.2,4495,https://www.amazon.in/gp/bestsellers/shoes/1983355031/ref=sr_bs_3_1983355031_1
"Lenovo 16-inch Value Lite Backpack, Comfortable, Padded Back Panel, Slim and Sleek, Dedicated Laptop Compartment, Padded Shoulder Straps for Optimal Comfort and Ergonomic Support (4X41C94115)",649,4.6,24,https://www.amazon.in/Lenovo-Comfortable-Dedicated-Compartment-4X41C94115/dp/B09QCYXZ1H
"Presto! Oxo-Biodegradable Garbage Bags, Large (24 x 32 inches) - 15 bags/roll (Pack of 6, Black, plastic)",299,4.3,10308,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PYKVK
"Lenovo 15.6"" Casual Backpack B210",799,4.1,19975,https://www.amazon.in/Lenovo-Laptop-Backpack-15-6-Inch-GX40Q17225/dp/B075Y72PHZ
Ezee Black Medium Garbage Bags 90 Pcs | 19 X 21 Inch | 30 Pcs x Pack of 3 | Dustbin Trash Bag,155,4.2,28672,https://www.amazon.in/Ezee-Garbage-Bag-inches-Pieces/dp/B06VX8YR6Q
Safari Swagpack 35 Ltrs Large Laptop Backpack With 3 Compartments and Raincover - Black (SWAGPACK19CBBLK),999,3.6,548,https://www.amazon.in/Safari-Swagpack-Backpack-Compartments-Raincover/dp/B09B25QMKY
Half Moon 55 litres Travelling Laptop Bag/Rucksack Backpack for Luggage Travel Journey Trekking Hiking Bags for Men Women Boys and Girls with Laptop Compartment & Rain Cover,799,3.9,639,https://www.amazon.in/Half-Moon-Travelling-Rucksack-Compartment/dp/B09WDGZ32L
"FUR JADEN Travel Laptop Backpack, Business Backpacks with USB Charging Port, Water Resistant College School Computer Bag for Men & Women Fits Under 15.6 inch Laptop and Notebook",999,4.2,385,https://www.amazon.in/Backpack-Business-Backpacks-Charging-Resistant/dp/B094DGXXR5
Lunar's Comet 35L Water Resistant Travel Bagpack/College Backpack/School Bag/Office Bag/Business Backpack/Daypack for Men and Women with 1 Year Warranty,747,4.0,13843,https://www.amazon.in/Lunars-Comet-Resistant-Casual-Backpack/dp/B07WN833M7
ADISA 32L large laptop backpack office bag college travel back pack with rain cover,449,3.8,436,https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTV3795
TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND),529,3.7,2763,https://www.amazon.in/gp/bestsellers/computers/1375464031/ref=sr_bs_13_1375464031_1
NORTH ZONE Lightweight school bags Backpacks for Boys Girls Stylish men and women Casual Travel Laptop Bag College office,496,4.0,1114,https://www.amazon.in/NORTH-ZONE-Lightweight-Backpacks-Stylish/dp/B0BL3SPN16
"Lipton Honey Lemon Green Tea Bags 100 pcs, All Natural Flavour, Zero Calories - Improves Metabolism & Reduces Waist",482,4.4,,https://www.amazon.in/Lipton-Honey-Lemon-Green-Pieces/dp/B01HMQ4HLW
"Home Puff Lunch Bag for Women & Men, Insulated Lunch Bag, Tiffin Lunch Bag for Office/College/School, Bottle Holder, Lightweight, Durable Handles, Multiple Pockets, with Warranty, Made in India, Grey",299,4.3,633,https://www.amazon.in/Home-Puff-Insulated-Lightweight-Multiple/dp/B0B42KFBDM
Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Black,799,3.9,1112,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2
Gear Vintage2 Anti Theft Faux Leather 18 cms Tan Laptop Backpack,769,4.3,1805,https://www.amazon.in/Gear-Vintage2-Leather-Backpack-LBPVG2LTH1901/dp/B07G4F3758
Shalimar Premium OXO - Biodegradable Garbage Bags 19 X 21 Inches (Medium) 180 Bags (6 Rolls) Dustbin Bag/Trash Bag - Black Color,406,4.5,15487,https://www.amazon.in/Shalimar-Premium-Garbage-Medium-Black/dp/B016DCB9OO
POLICE Backpack Laptop Bag for Men Casual Backpack Office/Travel/College 30 Ltr Hedge Polyester - Black,1499,4.2,4170,https://www.amazon.in/Police-Polyester-Black-Laptop-Backpack/dp/B078S7GB96
INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap,1239,4.2,8974,https://www.amazon.in/gp/bestsellers/shoes/1983352031/ref=sr_bs_5_1983352031_1
"Dyazo Water Resistant Camera Bag/Case Shoulder Strap Space for Photography Lens and Accessories Compatible for Nikon, Canon, Sony, Panasonic, Samsung & Other SLR/DSLR etc (Black & Silver)",698,4.2,724,https://www.amazon.in/gp/bestsellers/electronics/1389022031/ref=sr_bs_6_1389022031_1
Arctic Fox Slope Anti Theft 23 L Backpack with USB Charging Port 15 Inch Laptop Backpack (Marble Black),1299,4.5,4525,https://www.amazon.in/Arctic-Fox-Backpack-Charging-Laptop/dp/B089QBD333
NIVIA Basic Duffle Polyester Bag/Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Fitness Bag/Carry Bags/Sports & Travel Bag/Sports Kit/Duffle Bags Travel,219,4.0,4170,https://www.amazon.in/Nivia-6853BKGR-Polyester-Black-Grey/dp/B07NLB6FRS
Zipline Unisex casual polyester 36 L Backpack School Bag Women Men Boys Girls children Daypack College Bag Book School Sports Bag Weekend Bag,843,4.0,6673,https://www.amazon.in/ZIPLINE-Polyester-Backpack-Children-Daypack/dp/B07XVMR33Q
Skybags Trooper 65 cms Medium Check-in Polycarbonate Hardsided 4 Wheels Spinner Luggae/Suitcase/Trolley Bag- Blue and White,2699,4.2,19880,https://www.amazon.in/Skybags-Trooper-Polycarbonate-Hardsided-Luggage/dp/B085SZKR6B
"Dell Pro Slim Backpack 15 - PO1520PS - Fits Most laptops up to 38.1 cm (15 inches, Black)",1599,4.3,500,https://www.amazon.in/Dell-Pro-Slim-Backpack-15/dp/B07PMQTB6T
NIVIA Beast Gym Bag-4 Polyester/Unisex Gym Bags/Shoulder Bag for Men & Women with Separate Shoes Compartment/Carry Gym Accessories/Fitness Bag/Sports & Travel Bag/Sports Kit,489,4.2,3671,https://www.amazon.in/Nivia-5183-Polyester-Duffle-Medium/dp/B071KNXQ7Y
Arctic Fox 15 Liters Draw String Bag Lavender Backpack,199,4.2,3761,https://www.amazon.in/Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H
"Skybags Unisex Polyester Solid Pattern Hustle Df 55 (Orange, Small)",1450,4.3,354,https://www.amazon.in/Skybags-Unisex-Polyester-Pattern-Hustle/dp/B07F342RQD
Safari Small Size 15 Ltrs Unisex Casual Backpack - Sea Blue,352,4.0,21263,https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV
"amazon basics Plastic Amazonbasics Vacuum Compression Storage Bags With Hand Pump - 15-Pack (2 X-Jumbo, 5 Jumbo, 4 Large, 4 Medium)",1499,4.3,16422,https://www.amazon.in/AmazonBasics-Vacuum-Compression-Storage-Bags/dp/B07RP7TJVT
Bennett Khadi and Polyester Drax Laptop Bag Sleeve Case Cover Pouch for 15/15.6 inches Laptop Apple/Dell/Lenovo/ASUS/Hp/Samsung/Mi/MacBook/Ultrabook/Thinkpad/Idea Pad/Surfacepro for Laptops (Blue),257,4.1,4336,https://www.amazon.in/Bennett-Polyester-Drax-Ultrabook-Surfacepro/dp/B091NZ9MYB
"Safari Snap 35 Ltrs Large Laptop Backpack With 3 Compartments, Water Resistant Fabric - Black (SNAP19CBBLK)",999,3.8,355,https://www.amazon.in/Safari-Laptop-Backpack-Compartments-Resistant/dp/B09B27CYC4
GOCART WITH G LOGO Laptop Backpack Casual Daypacks Briefcase Convertible Business Travel Rucksack with USB Charging Port Large College School Bookbag Computer Laptop Bag,1299,3.8,1504,https://www.amazon.in/GOCART-LOGO-Backpack-Briefcase-Convertible/dp/B0822H451W
Handcuffs Baby Diaper Bag Multifunctional Maternity Bags New Mom Dad Travel Backpack For Baby Care Nursing (Black),1186,4.2,555,https://www.amazon.in/Handcuffs-Multifunctional-Maternity-Backpack-Nursing/dp/B09413KB4K
"WildHorn 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",599,4.1,1966,https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL81ZHB
ZOUK Black Floral Printed Handmade Vegan Leather Women's Office Bag for 15.6 inch Laptop with double handles - FloMotif,1549,4.3,1098,https://www.amazon.in/ZOUK-Printed-Handmade-Leather-handles/dp/B07NHYLTY7
Half Moon Aztec 37L School Bag Class 5-12 | College Bagpack for Men/College Back pack for Women | 15.6 inch Laptop Bag for Men/Backpack for Men | Spacious & Multiple Pockets,529,3.5,352,https://www.amazon.in/Half-Moon-College-Spacious-Multiple/dp/B0C23Z9W18
Asus ROG BP1501 39.62 cm (15.6-inch) Gaming Laptop Backpack (Black),1199,4.3,1031,https://www.amazon.in/BP1501-15-6-inch-Gaming-Laptop-Backpack/dp/B081RLHHCY
Half Moon 30L Water Resistant 15.6 inch Laptop Bag/Backpack for Men | School Bag for Boys Girls | Office Bag pack for Men/Office Back Packed for Women with Padded Laptop Compartment,459,3.6,112,https://www.amazon.in/Half-Moon-Laptop-Backpack-Polyester/dp/B09CMS3K2S
"Presto! Oxo-Biodegradable Garbage Bags, XL (30 x 37 inches) - 10 bags/roll (Pack of 6, Black, plastic)",389,4.4,2104,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821QGBDY
"Safari Sneak Casual Backpack with USB Charging Port 26 Ltrs Water Resistant Fabric - Grey, L (SNEAK19CBGRE)",849,3.8,1133,https://www.amazon.in/Safari-Casual-Backpack-Charging-Resistant/dp/B09B2581S9
ADISA Light Weight Laptop Backpack 32 Ltrs,449,4.0,6216,https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ
Half Moon Valex Unisex School Bag/ 15.6 inch Laptop Backpack/College Bagpack/Office Back Packed | Laptop Bag for Men Women | School Bags for Boys & Girls with Small Pockets & Laptop Compartment,549,3.7,163,https://www.amazon.in/Half-Moon-Laptop-Bag-Compartment/dp/B0C1NZLF67
"Newtone Premium OXO - Biodegradable Garbage Bags (Small) Size 43 cm x 51 cm (Dustbin Bag/Trash Bag) (Green Colour) (Pack of - 6, Small)",182,4.2,1888,https://www.amazon.in/Newtone-Premium-OXO-Biodegradable-Garbage/dp/B08M5S2NQM
Lenovo 15.6-inch Casual Laptop Briefcase T210,799,4.2,21632,https://www.amazon.in/Lenovo-Carrying-15-6-Inch-Toploader-GX40Q17229/dp/B075Y6Y9H5
AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE__0521_Black),429,4.3,9382,https://www.amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP
"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",599,3.8,1067,https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M
"Safari Tribe 35 Ltrs Large Laptop Backpack with 3 Compartments, Water Resistant Fabric - Black (TRIBE19CBBLK)",999,3.8,1868,https://www.amazon.in/Safari-Laptop-Backpack-Compartments-Resistant/dp/B09B27S9SG
"Tabelito® NEO 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook.",349,3.8,292,https://www.amazon.in/Tabelito-NEO-Backpack-Business-Compartment/dp/B0C2D2Q52R
"Cockatoo CMP01 OXO-Biodegradable Garbage Bags Medium|Your Ultimate Companion for Campaigning and Traveling|for Keeping Your Adventures Clean and Green,30 Bags/Rollx3,(18.5 X 20.5 Inch)",99,4.9,125,https://www.amazon.in/Cockatoo-OXO-Biodegradable-Companion-Campaigning-Adventures/dp/B0CF9Q8HPN
Asus BP1504 39.62 cm (15.6-inch) Laptop Backpack (Dark Grey),,4.1,1791,https://www.amazon.in/Asus-BP1504-15-6-inch-Laptop-Backpack/dp/B0895ZZHKK
Dell Essential Backpack 15 (ES1520P),1049,4.0,6881,https://www.amazon.in/Dell-Essential-Backpack-15-ES1520P/dp/B07TTCXHRH
Kleeno by cello OXO - Biodegradable Garbage Bags Medium Size 48 cm x 53 cm 2 Pouch 30 Bags Dustbin Bag/Trash Bag,84,4.0,2,https://www.amazon.in/Kleeno-Cello-Clean-Garbage-Medium/dp/B09C284CTH
Bennett™ Mystic 15.6 inch (39.6cm) Laptop Briefcase Shoulder Sling Office Business Professional Travel Messenger Bag for Men and Women Water Repellent Formal Executive Bags (Grey) 6 Months Warranty,452,4.0,6868,https://www.amazon.in/BennettTM-Mystic-Shoulder-Messenger-Repellent/dp/B09321GJXZ
DZert 1 Day Hiking Backpack for Boys/Girl (10L),209,3.2,595,https://www.amazon.in/DZert-Hiking-Backpack-Boys-Red-Black/dp/B07NCJMM6Z
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Blue White,339,3.8,2611,https://www.amazon.in/DZert-School-Polyester-Backpack-White/dp/B07GXYHFCY
"Shalimar Large Capacity Travel Bag/Storage Bag/Move-in Bags/Duffel Bag - Strong, Durable, Foldable and Water Resistant (Pack of 1) (Blue)",257,4.1,541,https://www.amazon.in/Shalimar-Capacity-Travel-Storage-Duffel/dp/B09TPHFMX7
"Arctic Hunter Sling Bag for Men Stylish Chest Bag with Multip-pockets for 10.9 inch iPad Crossbody Bag Passport Bag with USB Port Water-resistant Anti-theft Side Bag for Men and Women,Black",1849,4.2,268,https://www.amazon.in/Resistant-Anti-Theft-Crossbody-Travelling-Hands-Free/dp/B084RPQ187
"Amazon Basics Messenger Laptop Bag with Handle & Shoulder Strap fits upto 15.6"" Laptop / MacBook for Men & Women (Black)",729,4.2,50118,https://www.amazon.in/Amazon-Basics-Messenger-Shoulder-MacBook/dp/B00DUGZFWY
Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue,799,4.0,888,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,689,3.9,3832,https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X
DZert 1 Day Hiking Backpack for Boys/Girl (10L),209,3.2,595,https://www.amazon.in/DZert-Hiking-Backpack-Boys-Red-Black/dp/B07NCJMM6Z
DZert Clasy Laptop Bag College Bag for Boys Girls 21 L Blue White,339,3.8,2611,https://www.amazon.in/DZert-School-Polyester-Backpack-White/dp/B07GXYHFCY
AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE__0521_Black),429,4.3,9382,https://www.amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP
"Shalimar Large Capacity Travel Bag/Storage Bag/Move-in Bags/Duffel Bag - Strong, Durable, Foldable and Water Resistant (Pack of 1) (Blue)",257,4.1,541,https://www.amazon.in/Shalimar-Capacity-Travel-Storage-Duffel/dp/B09TPHFMX7
"Amazon Basics Messenger Laptop Bag with Handle & Shoulder Strap fits upto 15.6"" Laptop / MacBook for Men & Women (Black)",729,4.2,50118,https://www.amazon.in/Amazon-Basics-Messenger-Shoulder-MacBook/dp/B00DUGZFWY
Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue,799,4.0,888,https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG
